rank,seat,sector,name,title,company,location,flag,profileUrl
20,owner,produce/fresh,Amit Davidov,Chief Executive Officer,Produce Bros,"New York, NY",,https://www.linkedin.com/in/amit-davidov-427405129
21,owner,produce/fresh,Daniel Overbeek,Owner,Produce Express Inc.,"Woodstock, Ontario, Canada",,https://www.linkedin.com/in/daniel-overbeek
22,owner,produce/fresh,Ignacio Abraham,Chief Executive Officer,QIMA Produce,Chile,,https://www.linkedin.com/in/ignacio-santibanez
23,finance,produce/fresh,Eric Deudney,Chief Financial Officer,Southall - Farm and Inn,"Naples, Florida, United States",,https://www.linkedin.com/in/eric-deudney-2a73b36
24,owner,produce/fresh,Ryan Staniscavage,President,"Staniscavage Holdings, Inc. dba First Pick Produce Marketing","Alabaster, Alabama, United States",,https://www.linkedin.com/in/ryan-staniscavage-b4908752
25,owner,produce/fresh,Cesar Treviño,Owner & Managing Director,Sterling Produce LLC,"McAllen, Texas, United States",,https://www.linkedin.com/in/cesar-arturo-espinosa-treviño-b0b29a396
26,owner,produce/fresh,Two Produce,Owner,Two Brothers Produce,"Pompano Beach, Florida, United States",,https://www.linkedin.com/in/two-brothers-produce-966162245
27,finance,produce/fresh,Leidy Steckbauer,Controller,Valley Fruit and Produce Company,"Los Angeles, California, United States",,https://www.linkedin.com/in/ACoAAAngs70B29RzgUtBCkOcehF2b_1hzdf6N_o
28,owner,produce/fresh,Luis Guzman,President,Vivid Produce Inc,"Visalia, California, United States",,https://www.linkedin.com/in/luis-guzman-04672429
29,finance,food/protein,Daylan MBA,Assistant Controller,Archer Meat Snacks,"Los Angeles, California, United States",,https://www.linkedin.com/in/daylanm
30,finance,food/protein,Natalya CPA,Chief Financial Officer,Direct Source Seafood LLC.,"Bellevue, Washington, United States",,https://www.linkedin.com/in/ACoAAAOaMzwByO2blHXnW6IqasN24m2qJvSdOoU
31,owner,food/protein,MAYTE  JIMENEZ CASTRO,CEO AND CO-FOUNDER ,FOOD SAFETY INTERNATIONAL NETWORK (Latin America) ,"Zapopan, Jalisco, Mexico",,https://www.linkedin.com/in/maytejimenezfoodsafety
32,finance,food/protein,"Danny Musick, CPA",Chief Financial Officer,Filthy Food,"Miami, Florida, United States",,https://www.linkedin.com/in/dannymusick
33,finance,food/protein,Nestor Vargas,Controller-Finance Head Latam,Flora Food Group,"Benito Juárez, Mexico City, Mexico",,https://www.linkedin.com/in/nestorvargas1a2a58122
34,owner,food/protein,Angelli Cervera,Human Resources Business Partner,Heartland Food Products Group,Mexico City Metropolitan Area,,https://www.linkedin.com/in/angelli-zetina
35,finance,food/protein,Roberto Salas,Director of Finance LATAM,Heartland Food Products Group LATAM,"Xochimilco, Mexico City, Mexico",,https://www.linkedin.com/in/roberto-salas-5a38126
36,owner,food/protein,Alex Korsakov,CEO-Founder,Korvel Food Co Ltd,Athens Metropolitan Area,,https://www.linkedin.com/in/alexios-korsakov
37,owner,food/protein,Eduardo Speranza,CEO ,Melinka Seafood Corp.,"Mar del Plata, Buenos Aires Province, Argentina",,https://www.linkedin.com/in/eduardo-speranza
38,owner,food/protein,Grace Bravo Buenrostro,CEO | Mexican Food Export Specialist | Global Foodservice Supply & Trade Leader,Mexican Flavours Global,"San Antonio, Texas, United States",,https://www.linkedin.com/in/grace-bravo-buenrostro-82849951
39,owner,food/protein,Jimmy Nikolidakis,Chief Executive Officer,Miron Food Group,Greater Montreal Metropolitan Area,,https://www.linkedin.com/in/ACoAAAgdkEsBLKTiar55Sda7maPybRvvjzqBRnQ
40,finance,food/protein,Alfonso Vega,Director of Finance,Performance Food Group,"Mexico City, Mexico",,https://www.linkedin.com/in/alfonso-v-0180ba9
41,finance,food/protein,Nicholas Milligan,Chief Financial Officer,Protein Pints,Greater Milwaukee,,https://www.linkedin.com/in/nmilligan
42,owner,food/protein,Roberto Bilbao,Founder & CEO,SATRAÁ Food Services,"Benito Juárez, Mexico City, Mexico",,https://www.linkedin.com/in/roberto-d-58529436
43,owner,food/protein,Daren Primoli,"Founder, International Trade & Development, Global Food Supply Chain Management",Tropical Foods LLC,Miami-Fort Lauderdale Area,,https://www.linkedin.com/in/darenprimoli
44,owner,food/protein,Geir Myklebust,President,"Villa Seafood, Inc.",Greater Boston,,https://www.linkedin.com/in/geir-myklebust-9987a978
45,finance,food/protein,"Jay Dunkel, CMA",Chief Financial Officer,Zummo Meat Co,"Tampa, Florida, United States",,https://www.linkedin.com/in/jay-dunkel-cma-400310a4
46,owner,logistics/freight,Uros Penic,CEO,Apollo Freight Systems inc,Greater Chicago Area,,https://www.linkedin.com/in/uros-penic-9667a6131
47,owner,logistics/freight,Roman Vulpe,Owner,CRC Transport LLC,Pensacola Metropolitan Area,,https://www.linkedin.com/in/roman-vulpe-65805a191
48,finance,logistics/freight,Efraín Palma,Transport Finance Director,DHL Supply Chain,"Mexico City, Mexico",,https://www.linkedin.com/in/efrainpalma
49,owner,logistics/freight,Shawn Shergill,Chief Executive Officer,DXL 3PL,"Indianapolis, Indiana, United States",,https://www.linkedin.com/in/shawn-shergill-0bab3a231
50,owner,logistics/freight,Frank Mitlo,Chief Executive Officer,Freight Dynamics LLC,"Webster, TX",,https://www.linkedin.com/in/freight-dynamics8420653b3
51,owner,logistics/freight,Medardo Naranjo,Chief Executive Officer,GMW AUTO TRANSPORT LLC,"Bradenton, Florida, United States",,https://www.linkedin.com/in/ACoAAFfGaXwBcJTJfB_JpaY3dUs1waWu_BuTvqA
52,owner,logistics/freight,Ivan Onita,Freight Broker & CEO,IZY Logistics LLC,"Mundelein, Illinois, United States",,https://www.linkedin.com/in/ivan-o-65bb7b314
53,owner,logistics/freight,David Medic,CEO,Imperia Freight System,"Griffith, IN",,https://www.linkedin.com/in/david-medic-4570b61b3
54,owner,logistics/freight,Saif Choudry,President,KSI Freight,Los Angeles Metropolitan Area,,https://www.linkedin.com/in/saif-choudry
55,owner,logistics/freight,Jose Garza,Owner/Broker,Levitate Real Estate,Greater Houston,,https://www.linkedin.com/in/jose-garza-b7a125265
56,owner,logistics/freight,Martin Feldstein - Mr Cloud,Founder & President - Meriti CloudAi Broker,MERITI | CloudAi Broker,"Miami Beach, Florida, United States",,https://www.linkedin.com/in/martinfeldstein
57,owner,logistics/freight,Pablo Lara,Owner & Wine Importer,Mas Vino Wine Broker Inc,"Kelowna, British Columbia, Canada",,https://www.linkedin.com/in/ACoAAAUEUvABGezRi1I2oBA3jApJQ2ZEESwt28Q
58,owner,logistics/freight,Ronan MOUCHEL,Chief Executive Officer,Mendon Truck Leasing and Rental,"Brooklyn, New York, United States",,https://www.linkedin.com/in/ronanmouchel
59,finance,logistics/freight,Maria Becerra,CFO,Norton Lilly shipping Mexico,"Gustavo A. Madero, CMX",,https://www.linkedin.com/in/maria-cecilia-becerra-551218102
60,owner,logistics/freight,Michael Karam,Chief Executive Officer,PLX Freight,"Akron, Ohio, United States",,https://www.linkedin.com/in/michael-karam-62061a206
61,finance,logistics/freight,Arturo Villegas,Finance Director,Path Logistic + Copacker,"Mexico City, Mexico",,https://www.linkedin.com/in/parturovillegasj
62,owner,logistics/freight,Andrew Salazar,President,Patriot Freight Group,Greater Houston,,https://www.linkedin.com/in/andrew-salazar-05086927
63,owner,logistics/freight,Robin Sawyers,Owner,"Pax Crate & Freight, Inc.","Tomball, TX",,https://www.linkedin.com/in/robin-sawyers-1b34357b
64,owner,logistics/freight,Gabriela Sandoval,Founder,RBC FREIGHT AGENCY LLC,"Sulphur Springs, Texas, United States",,https://www.linkedin.com/in/gabriela-sandoval-685a2128a
65,owner,logistics/freight,Louie Guerra,Chief Executive Officer,RLS International Transport,"Laredo, TX",,https://www.linkedin.com/in/louie-guerra-7a8b8614
66,owner,logistics/freight,Fernando Gonzalez,Broker Owner,Re/max Plus,"Naucalpan de Juárez, México, Mexico",,https://www.linkedin.com/in/fernando-gonzalez-b59784
67,owner,logistics/freight,"Rami Abdeljaber, MBA",Executive VP & COO/ Owner,Russell Transport Co.,"El Paso, Texas, United States",,https://www.linkedin.com/in/rami-abdeljaber-mba-88669b2
68,owner,logistics/freight,Saif Ali,Chief Executive Officer,Safe Transport Inc,"Toronto, ON",,https://www.linkedin.com/in/saif-ali-42a799b5
69,owner,logistics/freight,Nemanja Popovic,President,TWO BROTHERS FREIGHT INC - TBF,"Palos Heights, Illinois, United States",,https://www.linkedin.com/in/nemanja-popovic-66292a26b
70,owner,logistics/freight,Tom Sarafinoski,Managing Partner,Torpedo Transport Services,Greater Chicago Area,,https://www.linkedin.com/in/tom-sarafinoski-707606303
71,owner,logistics/freight,BULMARO ROJAS,Managing Director,Truck-lite Puebla,"Huixquilucan de Degollado, México, Mexico",,https://www.linkedin.com/in/bulmaro-rojas-rojas-640b02104
72,owner,logistics/freight,Jim Smith,President,Vanguard Truck Leasing,Atlanta Metropolitan Area,,https://www.linkedin.com/in/jim-smith-234bb719
73,owner,import/manufacturing,Oscar Cervantes,Principal CEO,CG Solutions Logística - Maquila - Calidad,"Monterrey, Nuevo León, Mexico",,https://www.linkedin.com/in/oscarcervantes1225
74,owner,import/manufacturing,Will Delavan,Owner,"Defense Import Solutions, LLC","San Antonio, Texas Metropolitan Area",,https://www.linkedin.com/in/will-delavan-b7a707166
75,owner,import/manufacturing,Giuseppe Traina,CEO & Founder,GT IMPORT USA LLC,"Houston, Texas, United States",,https://www.linkedin.com/in/ACoAAFj7bIABOJB6bWyHwXaAx4FEtnrrbnxDh6U
76,owner,wine/spirits,Jim Moeller,Founder and CEO,Aurora Wine and Spirits,Los Angeles Metropolitan Area,,https://www.linkedin.com/in/jim-moeller-1718551
77,owner,wine/spirits,Simone Luchetti,President,Banville Wine Merchants,"New York, New York, United States",,https://www.linkedin.com/in/simone-luchetti-b0b65622
78,finance,wine/spirits,Oscar Espinosa,Director of Finance,Bruma Wine Resort by Thor Urbana Group,"Ensenada, Baja California, Mexico",,https://www.linkedin.com/in/oscar-espinosa-411a4259
79,owner,wine/spirits,"Josh Ochoa, WSET II",Founder/Owner,DrinkDistro.com Wine & Spirit Wholesale Directory,"Bakersfield, California, United States",,https://www.linkedin.com/in/josh-ochoa
80,owner,wine/spirits,Bob Murphy,Founder - El Jefe Wine and Spirits,El Jefe Wine and Spirits,"Atlantic Beach, Florida, United States",,https://www.linkedin.com/in/robertmurphy750selections
81,owner,wine/spirits,Ugo Freschi,Co-Founder,Freschi&Bufano Wine Merchants Co.,"Milan, Lombardy, Italy",,https://www.linkedin.com/in/ACoAAAkCnOkB01WRnoQABau7gc3WIIsZujozIjQ
82,owner,wine/spirits,Chris Gorman,Owner / Director of Winemaking,Gorman Winery,"Woodinville, Washington, United States",,https://www.linkedin.com/in/chris-gorman-351a8a20
83,owner,wine/spirits,Kristin Olszewski,Founder + CEO,Nomadica Wine,"Los Angeles, California, United States",,https://www.linkedin.com/in/kristin-olszewski-603a07171
84,owner,wine/spirits,Silver Lake Winery and Distillery,Owner,Silver Lake Winery,"Zillah, Washington, United States",,https://www.linkedin.com/in/silver-lake-winery-and-distillery-a45759415
85,owner,wine/spirits,Pierre-Adrien Brunet,Co-Founder & CEO at Your Wine Rep Korea,Your Wine Rep,"Seoul, South Korea",,https://www.linkedin.com/in/ACoAABbH7FABZHBFy4vAi6RHczjrhkfdGEJcwbc
86,owner,other (bio match),Gabriel Garza González,Director General | CEO,2GO Logistics,"Monterrey, Nuevo León, Mexico",,https://www.linkedin.com/in/gabriel-garza-gonzalez
87,owner,other (bio match),Carlos Apodaca Salinas,Founder & CEO,Actus,"Hermosillo, Sonora, Mexico",,https://www.linkedin.com/in/carlos-apodaca-salinas-b1536a36
88,owner,other (bio match),Patrick Crowley,Co-Founder & CEO,Agriful Software,"San Francisco, California, United States",,https://www.linkedin.com/in/patrick-crowley-50
89,owner,other (bio match),Silvia Flores,Managing Partner,Alder Koten,Greater Houston,,https://www.linkedin.com/in/silviafloress
90,owner,other (bio match),Adriana Ramirez Leal,Co-Founder and Head Creative Director,Alive Creative Services,"North Vancouver, British Columbia, Canada",,https://www.linkedin.com/in/adriana-ramirez-leal
91,finance,other (bio match),Jorge Mercado,Group CFO,Alpura,"Mexico City, Mexico",,https://www.linkedin.com/in/jorge-mercado-2144a647
92,owner,other (bio match),Alejandra Rios,CEO,Ambrosía,"Mexico City, Mexico",,https://www.linkedin.com/in/riosalejandra
93,owner,other (bio match),Calder Hendrickson,CEO,"AquaSmart Enterprises, LLC",Lubbock-Levelland Area,,https://www.linkedin.com/in/calder-hendrickson-73036319
94,owner,other (bio match),Alvaro Luque,President & CEO,Avocados From Mexico,"Irving, Texas, United States",,https://www.linkedin.com/in/alvaro-luque-avocadosfrommexico
95,owner,other (bio match),Lloyd Bellamy,President,BELLAMY TRANSPORTATION,"New York, New York, United States",,https://www.linkedin.com/in/lloyd-bellamy-5a744220
96,owner,other (bio match),Allan Safieh,Co-Founder,BORN Farms,Guatemala,,https://www.linkedin.com/in/allan-s-1276b171
97,owner,other (bio match),Federico Martínez,Co-Chief Executive Officer,BORNOS Bodegas & Viñedos,"Miguel Hidalgo, Mexico City, Mexico",,https://www.linkedin.com/in/federicomtzmdc
98,owner,other (bio match),Johan Madriz,Co-Founder/Partner,Banagua,"Nashville, Tennessee, United States",,https://www.linkedin.com/in/johan-madriz-1292aa26
99,owner,other (bio match),Oscar Oswaldo Barreda Lazo,CEO & President,Barreda Cigars,Nicaragua,,https://www.linkedin.com/in/oscar-oswaldo-barreda-lazo-7a506a188
100,finance,other (bio match),Rafael Diaz,Corporate Financial Controller & Head of Corporate Treasury.,Bitso,Mexico City Metropolitan Area,,https://www.linkedin.com/in/rafael-diaz-58925126
101,owner,other (bio match),Rafael Chávez,CEO,"CALIFORNIA VEGETABLE SPECIALTIES, INC.","Rio Vista, California, United States",,https://www.linkedin.com/in/rafael-barajas-chávez-349b4134
102,owner,other (bio match),Ralph Townsend,President,Caliber Completion Services LLC,Oklahoma City Metropolitan Area,,https://www.linkedin.com/in/ralph-townsend-82567312
103,owner,other (bio match),Cheryl Silvey,President,Cargo Sales International Inc.,"Fort Lauderdale, Florida, United States",,https://www.linkedin.com/in/cheryl-silvey-0226203b
104,owner,other (bio match),Uffe Ostergaard,Chief Executive Officer,"Carrix, Inc.","Bellevue, Washington, United States",,https://www.linkedin.com/in/uffeostergaard
105,finance,other (bio match),Eric Worth,President / CFO,Collaborative Technology Services,"White Plains, New York, United States",,https://www.linkedin.com/in/eric-worth-bb635125
106,owner,other (bio match),Guillermo Salinas,President,Cremi Mex,"Baldwin Park, California, United States",,https://www.linkedin.com/in/guillermoesalinas
107,finance,other (bio match),Gustavo Barreto,CFO & CCO (Chief Compliance Offficer) - DHL Brazil,DHL,"Campinas, São Paulo, Brazil",,https://www.linkedin.com/in/g-barreto1
108,owner,other (bio match),Rafael Garcia,President,DOF Ground,"Miami, Florida, United States",,https://www.linkedin.com/in/rafael-garcia-a14ab2161
109,finance,other (bio match),Thomas CFP,Chief Financial Officer,Digital Wallet US,"Henderson, Nevada, United States",,https://www.linkedin.com/in/thomasjbarrett
110,owner,other (bio match),Luis X. Chapa,CEO,Efevoo Pay,"San Pedro Garza García, NLE",,https://www.linkedin.com/in/luis-chapa-gonzalez
111,owner,other (bio match),Ricardo O.,Deputy CEO,Especias Moy,"Guadalajara, Jalisco, Mexico",,https://www.linkedin.com/in/cricardortega
112,owner,other (bio match),Daniel Shirazi,Co-Founder & President,Forefront Global Logistics,"Miami, Florida, United States",,https://www.linkedin.com/in/daniel-shirazi-a35332135
113,owner,other (bio match),Alex R.,Founder & CEO,GLOG,"Mexico City, Mexico",,https://www.linkedin.com/in/alexglog
114,owner,other (bio match),Susan  Rodriguez,Founder + CEO,Green Goes,Greensboro--Winston-Salem--High Point Area,,https://www.linkedin.com/in/susankrodriguez
115,owner,other (bio match),Rodrigo Cruces Becerra,Logistics Solutions Managing Director,Grupo CICE,"México, Mexico",,https://www.linkedin.com/in/rodrigocruceslogistics
116,finance,other (bio match),Juan Carlos Triviño,CFO,Grupo Vichy Catalan,"Barcelona, Catalonia, Spain",,https://www.linkedin.com/in/juan-carlos-triviño-354a028
117,finance,other (bio match),Jorge Luis López Polina,CFO- Director de Administración y Finanzas,Grupo Yesaki,"San Nicolás de Los Garza, Nuevo León, Mexico",,https://www.linkedin.com/in/jorge-luis-lopez-polina
118,owner,other (bio match),Rodrigo Gonzalez MV,Consultor Comercial Senior Partner & Asesor Financiero Patrimonial,Ignite Commercial Strategy,"Guadalajara, Jalisco, Mexico",,https://www.linkedin.com/in/rodrigo-gonzalez-mv-7298ba15
119,owner,other (bio match),Abiel Carrillo,Chief Executive Officer,International Impulse - Impulse Logistics,"El Paso, Texas, United States",,https://www.linkedin.com/in/abiel-carrillo-b8a19b2
120,owner,other (bio match),Bryan Towers,President,Kingdom Cold Solutions,"Frisco, Texas, United States",,https://www.linkedin.com/in/bryan-towers-16491785
121,finance,other (bio match),Emanuel Gonzalez,CFO,Landsteiner Scientific,"Mexico City, Mexico",,https://www.linkedin.com/in/emanuel-gonzalez-09707a15
122,owner,other (bio match),Juan Manuel Ibarra Pablos,CEO,"Marengo Foods Company, LLC","Dallas, Texas, United States",,https://www.linkedin.com/in/juan-manuel-ibarra-pablos-b641b726
123,owner,other (bio match),Salvador Fernandez,CEO,Menita Comercial.,"Zapopan, Jalisco, Mexico",,https://www.linkedin.com/in/salvador-fernandez-25800a119
124,owner,other (bio match),Sergio Martinez Mejia,CEO,Meshika Trading,"Temecula, California, United States",,https://www.linkedin.com/in/sergio-martinez-mejia-958854a3
125,finance,other (bio match),Eric Downum,Chief Financial Officer,Muenster Pet,"Frisco, Texas, United States",,https://www.linkedin.com/in/ericdownum
126,owner,other (bio match),Seyed Rezvani,Managing Director,Mundo Imperial S.A. de C.V. A,"Acapulco de Juárez, Guerrero, Mexico",,https://www.linkedin.com/in/seyed-rezvani-58851410
127,finance,other (bio match),Javier Israel Medina Hernández,Chief Financial Officer / CFO,NAD Global,"Toluca, MEX",,https://www.linkedin.com/in/javier-israel-medina-hern%C3%A1ndez-a74480104
128,owner,other (bio match),Rafael Milchorena,CEO,NAD Global,"Veracruz, Veracruz, Mexico",,https://www.linkedin.com/in/rafael-milchorena-carvajal-574aaa75
129,finance,other (bio match),Ricardo Reis,CFO,Nowports,Mexico City Metropolitan Area,,https://www.linkedin.com/in/ricardo-reis-cfo
130,owner,other (bio match),Manuel Valdez,Chief Executive Officer,NutriAgaves Group: a worldwide company,"Zapopan, JAL",,https://www.linkedin.com/in/manuel-loy-valdez-92347724
131,owner,other (bio match),Douglas 🍯🦡,Founder,Pass the Honey,San Diego Metropolitan Area,,https://www.linkedin.com/in/douglasraggio
132,finance,other (bio match),Brian MBA,"Vice President of Finance, CFO for North Texas",Performance Foodservice,"Dallas, TX",,https://www.linkedin.com/in/brian-grosheider-cma-ctp-mba-8387224
133,finance,other (bio match),Josue Alexis G.,Director de Finanzas | Fractional CFO,Profesional independiente,"Querétaro, Mexico",,https://www.linkedin.com/in/galmejo
134,owner,other (bio match),Derek Eisele,President,Scenic Fruit Company,"Gresham, Oregon, United States",,https://www.linkedin.com/in/derek-eisele-0494052a
135,owner,other (bio match),CARLOS ANDRES PROANO,Founder & CEO,Smart CFO,Greater Houston,,https://www.linkedin.com/in/carlos-andres-proano
136,owner,other (bio match),Christian Mendes,CEO,Snodo Soluções Ltda,"Florianópolis, Santa Catarina, Brazil",,https://www.linkedin.com/in/cfmendes
137,owner,other (bio match),Joe Vaclavik,Founder / Content Creator,"Standard Grain, Inc.",Nashville Metropolitan Area,,https://www.linkedin.com/in/joe-vaclavik-60a96a19
138,finance,other (bio match),Tom Pigott,Chief Financial Officer,The Marzetti Company,"Columbus, Ohio, United States",,https://www.linkedin.com/in/tom-pigott-4541272
139,owner,other (bio match),Nico Daily,President and Partner,Tigerhawk Logistics,Greater Houston,,https://www.linkedin.com/in/nico-daily-873524b9
140,owner,other (bio match),Raymundo Perez,"Founder & President, Qualifying officer","Transcontinental Distribution Services, Inc.","Laredo, Texas, United States",,https://www.linkedin.com/in/raymundo-perez-7b0a094
141,finance,other (bio match),Diego Vidal,Chief Financial Officer,Us Merchants Inc,"Los Angeles, CA",,https://www.linkedin.com/in/dchvidal
142,owner,other (bio match),Santiago Gaxiola,Co-Founder,ZITRONE,"Miguel Hidalgo, Mexico City, Mexico",,https://www.linkedin.com/in/santiago-hinojosa-gaxiola-7441396a
143,owner,other (bio match),Alfonso Marín,CEO / Founder,iTech Synergy,"Querétaro, Querétaro, Mexico",,https://www.linkedin.com/in/alfonsomarinc
144,ops,produce/fresh,Mark Cullen,General Manager,AGRI WAY PARTNERS LLC,"Wayland, Iowa, United States",,https://www.linkedin.com/in/mark-cullen-068745a7
145,ops,produce/fresh,Matt DuPerrouzel,Executive Vice President,Bondi Produce,"Toronto, Ontario, Canada",,https://www.linkedin.com/in/matt-duperrouzel-a7426231
146,other,produce/fresh,Matt Neumann,Division President,Charlie's Produce,"Portland, Oregon Metropolitan Area",,https://www.linkedin.com/in/matt-neumann-5858b187
147,ops,produce/fresh,Ciro Royster,GM Director of Operations,Charlie's Produce,"Gig Harbor, Washington, United States",,https://www.linkedin.com/in/ciro-royster-1b1b5883
148,ops,produce/fresh,Patrick Craen,General Manager,Family Fresh Farms,"Peats Ridge, New South Wales, Australia",,https://www.linkedin.com/in/ACoAAAjiSHkB-n7k_3A_uv7By02xz71mUSLKHZA
149,ops,produce/fresh,Kyle Reeves,General Manager,Foremost Fresh Direct,"Lubbock, Texas, United States",,https://www.linkedin.com/in/kyle-reeves-b31a574b
150,ops,produce/fresh,Randy K.,Director Of Operations,Heritage Fresh Farms,"West Palm Beach, Florida, United States",,https://www.linkedin.com/in/randy-k-1546631a1
151,ops,produce/fresh,robert veilleux,Vice President Produce/Floral Operations Heritage Grocers Group,Heritage Grocers Group     Cardenas-Tonys-El Rancho,"Huntington Beach, California, United States",,https://www.linkedin.com/in/robert-veilleux-871b3070
152,ops,produce/fresh,Gustavo Elias Hopkins,Vice President Operations,IPR Fresh,"Nogales, Arizona, United States",,https://www.linkedin.com/in/gustavo-elias-hopkins-63102983
153,ops,produce/fresh,Bret Erickson,Executive Vice President,Little Bear Produce,Greater McAllen Area,,https://www.linkedin.com/in/bret-erickson-0b1832390
154,ops,produce/fresh,Diego Sierra,Chief Operating Officer,Produce Team LLC,"McAllen, Texas, United States",,https://www.linkedin.com/in/diego-sierra-b483b4b0
155,ops,produce/fresh,Mark Garcia,Vice President and GM,YourWay*Fresh,"San Antonio, Texas Metropolitan Area",,https://www.linkedin.com/in/chefmarkgarcia
156,ops,produce/fresh,Amanda Horney,Vice President of Sales,Zano Fresh,"Viburnum, Missouri, United States",,https://www.linkedin.com/in/ACoAACmeibkB1crFVP-uedPrC9SSM7jTxdVH7kQ
157,ops,food/protein,ROBERTO PUIG,Coo,CORPORATIVO AGM FOOD,"Reynosa, Tamaulipas, Mexico",,https://www.linkedin.com/in/roberto-puig-912508209
158,ops,food/protein,Josh Melnick,Chief Operating Officer,Corfini Meat & Seafood,"Bellevue, Washington, United States",,https://www.linkedin.com/in/josh-melnick-19b74228
159,ops,food/protein,Fernando Varón,Supply Chain Vice President LATAM,Heartland Food Products Group,Mexico City Metropolitan Area,,https://www.linkedin.com/in/fernando-var%C3%B3n-85109858
160,ops,food/protein,Jesus Toraño,Vice President & General Manager Latin America,Heartland Food Products Group,"Xochimilco, Mexico City, Mexico",,https://www.linkedin.com/in/jesus-toraño-8b087113
161,ops,food/protein,Juan Carlos Mendez,VIce President & General Manager,ITW Food Equipment Group,Greater Seattle Area,,https://www.linkedin.com/in/juan-carlos-mendez-b635686
162,ops,logistics/freight,Diego Leal,Chief Operating Officer,Capistrano Freight Logistics ,"McAllen, Texas, United States",,https://www.linkedin.com/in/diego-a-leal-70915ab7
163,ops,logistics/freight,Brooks Joneson,Vice President of Regional Operations,Cross Country Freight Solutions,"Rapid City, South Dakota, United States",,https://www.linkedin.com/in/brooks-joneson-7165102a6
164,ops,logistics/freight,Jorge Lizárraga,Director Of Operations,"K & L Freight Management, Inc.","Zapopan, Jalisco, Mexico",,https://www.linkedin.com/in/jorge-lizarraga
165,ops,logistics/freight,Briana McCranie,Vice President Operations,"Kindred Transport, INC.",Greater Houston,,https://www.linkedin.com/in/briana-mccranie-89a65a96
166,ops,logistics/freight,Alberto Anguiano,Chief Operating Officer,Montway Auto Transport,Greater Chicago Area,,https://www.linkedin.com/in/albertoanguianocahue
167,ops,wine/spirits,John Dunn,Chief Operating Officer,Blue Ridge Spirits & Wine Marketing,Atlanta Metropolitan Area,,https://www.linkedin.com/in/john-dunn-839978110
